gene	EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
IFNA6	-0.156682675	-0.233962329	-0.125678024	-0.170137126	-0.241187544	-0.135894428	-0.276374706	-0.157501728	-0.195865613	-0.357919176	-0.302810442	-0.209760134	-0.112096568	-0.17744875
IFNA7	0.002278011	-0.063032624	-0.111124455	-0.040221174	0.02835187	0.093525351	0.125132872	0.070537079	-0.018364129	0.125087481	0.127573832	-0.005222114	0.119759656	-0.001983513
IFNA8	-0.081010386	-0.080722206	-0.104163578	-0.083428448	-0.249396	-0.191628709	-0.2542471	-0.317446263	-0.212728273	-0.25436137	-0.154749474	-0.22649824	-0.055442908	-0.172945998
IFNAR1	0.015328214	-0.231416019	0.022786334	0.033393762	-0.037266473	0.060026796	0.0022031	-0.044613064	0.018469836	0.025967129	0.023914886	-0.028423002	0.050167693	0.006861258
IFNAR2	0.053357424	0.015349762	0.101742348	0.018109789	-0.036590458	0.065497996	0.096994523	0.041799422	0.165031515	0.009213589	0.102922807	0.027148967	0.067175523	0.007466384
IFNB1	-0.023331426	-0.091988151	-0.011470055	0.092294784	0.038799596	-0.011999443	-0.030511769	-0.062444946	0.082819298	-0.033813522	0.068503176	-0.078959334	0.040856169	0.075795375
IFNE	-0.065393218	-0.052923111	0.065490047	0.006425646	0.045742799	-0.034968333	0.030449198	-0.111795848	0.068454983	-0.141683945	0.167201637	0.076612325	0.014536701	-0.107861084
IFNG	0.092869082	0.074890518	0.133220869	0.145219349	0.098922267	0.064878438	0.103614216	0.174056773	0.119394871	0.078906022	0.09191351	0.113733924	0.136355924	0.077067661
IFNGR1	0.053933203	0.049689068	0.019120681	0.118909448	0.03450417	0.023642052	0.037285977	0.001938254	0.041864408	-0.005705555	0.008799158	0.034844324	-0.031551156	3.17E-05
IFNGR2	-0.20659548	-0.3182742	-0.115882255	-0.059348707	-0.135002962	-0.337992493	-0.185837323	-0.167425636	-0.151397438	-0.340966636	-0.315504015	-0.048523779	-0.230780432	-0.102522716
IFNK	0.059488131	0.032574911	0.074849724	0.092373292	0.103495736	0.080311251	0.091948254	0.109691327	0.110758954	0.114565991	0.148244722	0.096063123	0.125252099	0.029228787
IFNL1	-0.132443374	0.065070205	-0.059130041	0.079227923	-0.110448058	-0.073739766	-0.02346008	-0.006682018	-0.208687395	-0.298794814	0.0926621	-0.170966929	-0.240835726	0.016500393
IFNL2	0.085535044	0.096317289	0.14109238	0.168459154	0.026401965	0.149442906	0.055065562	0.121875077	0.125039436	0.072783802	0.164947329	0.086024148	0.205984519	0.018749063
