gene	A375_SKIN	A673_BONE	BXPC3_PANCREAS	CADOES1_BONE	CAL120_BREAST	COLO741_SKIN	CORL105_LUNG	EW8_BONE	EWS502_BONE	G402_SOFT_TISSUE	HCC44_LUNG	HS294T_SKIN	HT29_LARGE_INTESTINE	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L33_PANCREAS	LNCAPCLONEFGC_PROSTATE	MEWO_SKIN	MHHES1_BONE	NCIH1373_LUNG	NCIH2009_LUNG	PANC0327_PANCREAS	PANC0813_PANCREAS	PANC1_PANCREAS	PATU8902_PANCREAS	PATU8988T_PANCREAS	PC3_PROSTATE	RDES_BONE	SKES1_BONE	SU8686_PANCREAS	T47D_BREAST	TC32_BONE	TC71_BONE	TOV112D_OVARY
TCIRG1	0.038399964	0.09391633	-0.029814608	-0.02167538	0.390930807	0.052063023	-0.081841664	-0.019823806	-0.017513097	0.010122418	0.120119546	0.225757197	-0.024634346	-0.09944719	0.071620936	0.202779771	0.131824864	-0.282230172	0.03540696	0.046068878	0.178001227	0.01713883	-0.080934776	0.040359034	0.11021373	-0.033700467	-0.000712925	-0.08799283	0.051045441	-0.007260803	0.145300876	0.11063295	-0.113017434
TCL1A	0.054919572	0.07064645	0.136726912	0.060499453	0.11097504	0.061516625	0.137581057	0.144519367	0.044388757	0.159425235	0.025501362	0.24157082	-0.006574749	0.104155748	0.042567179	0.156571471	0.139970625	0.032382798	0.232764795	0.093572711	0.071555206	0.091593185	0.064165696	0.09429502	-0.006189492	0.388569499	0.12668042	0.198141183	0.029410679	0.233228385	0.152155294	0.202478359	0.09670742
TCL1B	0.10138327	0.007782335	-0.063824008	-0.030746864	-0.028923357	0.006249367	0.10367331	-0.030650918	0.093270327	0.009332124	-0.018985009	-0.015531446	0.042179251	0.081926726	-0.082665493	-0.070891515	0.072088645	0.11502258	0.048952106	0.078865564	0.015716194	0.079691807	-0.000551819	-0.007810711	-0.032056691	0.236723189	-0.005970099	0.049088786	0.114400791	-0.099116092	0.103838477	0.124619746	0.059767033
TCN1	-0.109506482	0.033250828	-0.087970824	-0.042400246	-0.100913473	-0.124638432	-0.029179601	-0.117880586	-0.074246902	0.071371614	-0.105248821	-0.075164666	-0.030071808	-0.068893348	-0.054033711	-0.132080922	-0.138533874	-0.162887002	-0.22246409	-0.00948849	-0.134560858	0.019254615	0.077421111	-0.002323229	0.105667956	-0.189390157	0.002656669	-0.116520774	-0.067471951	-0.041496133	-0.078762571	-0.10335354	-0.230383436
TCN2	-0.136612344	-0.184576272	-0.262871358	-0.345801582	-0.246858439	-0.132318609	-0.148039594	-0.362106423	-0.145958029	-0.208920727	-0.281868773	-0.260452534	-0.065070929	-0.317879049	-0.55203182	-0.03929962	-0.119633014	-0.229041889	-0.393817921	-0.063968517	-0.261146299	-0.150918544	-0.318572191	-0.244620856	-0.070837663	-0.46325604	-0.297459158	-0.320717402	-0.169312356	-0.243619022	-0.316476876	-0.05981942	-0.232905612
TCOF1	-0.77946595	-0.579474076	-0.978994249	-0.947155712	-0.714281593	-0.863782826	-0.861172544	-0.604449408	-0.715285826	-0.967356284	-0.951645227	-0.746240865	-0.654748454	-0.832144631	-1.023170442	-0.737751046	-0.926798712	-0.702448596	-0.848870923	-0.880682121	-0.775850071	-1.105888603	-0.68795086	-0.834436882	-0.8679331	-0.824345374	-0.789234547	-0.796600933	-0.915033708	-0.619923978	-0.849419098	-0.808622073	-0.662986228
TCP1	-1.57217074	-1.654618979	-1.784700868	-1.710958777	-2.155484429	-1.773987142	-1.759845264	-1.441148772	-1.887405597	-1.624437457	-1.631789762	-1.71532975	-1.518590467	-1.61184804	-2.278252175	-1.640197487	-1.9334444	-1.541444151	-1.906220247	-1.71000868	-1.75727798	-1.491358215	-1.695783787	-1.664041975	-1.552910278	-2.04708941	-1.598340835	-1.67098888	-1.576803808	-1.660858354	-1.721371571	-1.686907028	-1.892920085
TCP10	-0.139512389	-0.368677273	-0.154490482	-0.2688739	-0.176176145	-0.218718754	-0.090949441	-0.157755671	-0.107949829	-0.279377193	-0.12654235	-0.111381161	-0.068135742	-0.218708666	-0.263793357	-0.334292645	-0.398640587	-0.236545683	-0.152116851	-0.110552085	-0.438107048	-0.309096686	-0.197551081	-0.160465517	-0.220848854	-0.432296441	-0.199500487	-0.135517509	-0.0664807	-0.252269405	-0.297259259	-0.362448537	-0.116022413
TCP10L	-0.081086378	-0.042956842	-0.017154832	-0.088822202	0.192430988	0.043293758	-0.01651993	0.055517233	0.135472436	-0.043566732	-0.024983136	0.04077647	-0.006615365	-0.122032263	0.034821284	0.011790851	-0.089494972	0.023627537	-0.097390599	-0.116286432	-0.005724082	-0.067157913	-0.184522947	-0.036864536	0.042167838	0.217437418	0.099940656	-0.017275895	0.05378678	-0.063908652	-0.07302227	0.041232387	-0.003373055
TCP10L2	0.043240659	0.102843526	-0.086739972	0.000246844	0.141774336	-0.120092313	0.164044583	0.144103755	-0.041721783	0.012036148	0.046351627	0.17137825	0.033965382	-0.043967416	-0.017689542	-0.198998239	0.088043236	0.095190855	0.240732063	0.131029706	-0.274113414	-0.154617894	-0.062170807	-0.129390309	-0.064105632	0.106108293	0.166260628	0.117830426	-0.017250079	-0.038209961	0.003247393	0.031130153	0.038495727
