Name	Type	Category
HARA_LUNG	Gene-Level	Gene Knock-Out Studies
HCC1143_BREAST	Gene-Level	Gene Knock-Out Studies
HCC1359_LUNG	Gene-Level	Gene Knock-Out Studies
HCC1395_BREAST	Gene-Level	Gene Knock-Out Studies
HCC1419_BREAST	Gene-Level	Gene Knock-Out Studies
HCC1428_BREAST	Gene-Level	Gene Knock-Out Studies
HCC15_LUNG	Gene-Level	Gene Knock-Out Studies
HCC1806_BREAST	Gene-Level	Gene Knock-Out Studies
HCC1937_BREAST	Gene-Level	Gene Knock-Out Studies
HCC1954_BREAST	Gene-Level	Gene Knock-Out Studies
HCC202_BREAST	Gene-Level	Gene Knock-Out Studies
HCC56_LARGE_INTESTINE	Gene-Level	Gene Knock-Out Studies
HCC827_LUNG	Gene-Level	Gene Knock-Out Studies
HCC95_LUNG	Gene-Level	Gene Knock-Out Studies
HEC1A_ENDOMETRIUM	Gene-Level	Gene Knock-Out Studies
HEC1B_ENDOMETRIUM	Gene-Level	Gene Knock-Out Studies
HEC251_ENDOMETRIUM	Gene-Level	Gene Knock-Out Studies
HEC50B_ENDOMETRIUM	Gene-Level	Gene Knock-Out Studies
HEC59_ENDOMETRIUM	Gene-Level	Gene Knock-Out Studies
HEC6_ENDOMETRIUM	Gene-Level	Gene Knock-Out Studies
HEYA8_OVARY	Gene-Level	Gene Knock-Out Studies
HGC27_STOMACH	Gene-Level	Gene Knock-Out Studies
HLF_LIVER	Gene-Level	Gene Knock-Out Studies
HMC18_BREAST	Gene-Level	Gene Knock-Out Studies
HOP62_LUNG	Gene-Level	Gene Knock-Out Studies
HS294T_SKIN_2	Gene-Level	Gene Knock-Out Studies
HS578T_BREAST	Gene-Level	Gene Knock-Out Studies
HS683_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
HS695T_SKIN	Gene-Level	Gene Knock-Out Studies
HS729_SOFT_TISSUE	Gene-Level	Gene Knock-Out Studies
HS766T_PANCREAS	Gene-Level	Gene Knock-Out Studies
HS944T_SKIN	Gene-Level	Gene Knock-Out Studies
HSC3_UPPER_AERODIGESTIVE_TRACT	Gene-Level	Gene Knock-Out Studies
HT1080_SOFT_TISSUE	Gene-Level	Gene Knock-Out Studies
HT115_LARGE_INTESTINE	Gene-Level	Gene Knock-Out Studies
HT1197_URINARY_TRACT	Gene-Level	Gene Knock-Out Studies
HT1376_URINARY_TRACT	Gene-Level	Gene Knock-Out Studies
HT144_SKIN	Gene-Level	Gene Knock-Out Studies
HT55_LARGE_INTESTINE	Gene-Level	Gene Knock-Out Studies
HUH1_LIVER	Gene-Level	Gene Knock-Out Studies
HUH6_LIVER	Gene-Level	Gene Knock-Out Studies
HUH7_LIVER	Gene-Level	Gene Knock-Out Studies
HUPT3_PANCREAS	Gene-Level	Gene Knock-Out Studies
IGR1_SKIN	Gene-Level	Gene Knock-Out Studies
IGR39_SKIN	Gene-Level	Gene Knock-Out Studies
IMR32_AUTONOMIC_GANGLIA	Gene-Level	Gene Knock-Out Studies
IPC298_SKIN	Gene-Level	Gene Knock-Out Studies
JHH1_LIVER	Gene-Level	Gene Knock-Out Studies
JHH4_LIVER	Gene-Level	Gene Knock-Out Studies
JHH5_LIVER	Gene-Level	Gene Knock-Out Studies
JHH7_LIVER	Gene-Level	Gene Knock-Out Studies
JHOC5_OVARY	Gene-Level	Gene Knock-Out Studies
JHOM1_OVARY	Gene-Level	Gene Knock-Out Studies
JHOS2_OVARY	Gene-Level	Gene Knock-Out Studies
JHOS4_OVARY	Gene-Level	Gene Knock-Out Studies
JIMT1_BREAST	Gene-Level	Gene Knock-Out Studies
JMSU1_URINARY_TRACT	Gene-Level	Gene Knock-Out Studies
K029AX_SKIN	Gene-Level	Gene Knock-Out Studies
KALS1_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene-Level	Gene Knock-Out Studies
KELLY_AUTONOMIC_GANGLIA	Gene-Level	Gene Knock-Out Studies
KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene-Level	Gene Knock-Out Studies
KLE_ENDOMETRIUM	Gene-Level	Gene Knock-Out Studies
KM12_LARGE_INTESTINE	Gene-Level	Gene Knock-Out Studies
KMBC2_URINARY_TRACT	Gene-Level	Gene Knock-Out Studies
KMRC1_KIDNEY	Gene-Level	Gene Knock-Out Studies
KMRC20_KIDNEY	Gene-Level	Gene Knock-Out Studies
KNS42_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
KNS60_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
KNS62_LUNG	Gene-Level	Gene Knock-Out Studies
KNS81_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
KP2_PANCREAS	Gene-Level	Gene Knock-Out Studies
KP3_PANCREAS	Gene-Level	Gene Knock-Out Studies
KP4_PANCREAS	Gene-Level	Gene Knock-Out Studies
KPL1_BREAST	Gene-Level	Gene Knock-Out Studies
KPNYN_AUTONOMIC_GANGLIA	Gene-Level	Gene Knock-Out Studies
KS1_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
KU1919_URINARY_TRACT	Gene-Level	Gene Knock-Out Studies
KURAMOCHI_OVARY	Gene-Level	Gene Knock-Out Studies
KYSE180_OESOPHAGUS	Gene-Level	Gene Knock-Out Studies
KYSE270_OESOPHAGUS	Gene-Level	Gene Knock-Out Studies
KYSE30_OESOPHAGUS	Gene-Level	Gene Knock-Out Studies
KYSE410_OESOPHAGUS	Gene-Level	Gene Knock-Out Studies
KYSE450_OESOPHAGUS	Gene-Level	Gene Knock-Out Studies
KYSE70_OESOPHAGUS	Gene-Level	Gene Knock-Out Studies
LCLC103H_LUNG	Gene-Level	Gene Knock-Out Studies
LI7_LIVER	Gene-Level	Gene Knock-Out Studies
LK2_LUNG	Gene-Level	Gene Knock-Out Studies
LN18_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
LN235_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
LN382_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
LN443_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
LNZ308_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
LOVO_LARGE_INTESTINE	Gene-Level	Gene Knock-Out Studies
LS1034_LARGE_INTESTINE	Gene-Level	Gene Knock-Out Studies
LS180_LARGE_INTESTINE	Gene-Level	Gene Knock-Out Studies
LS513_LARGE_INTESTINE	Gene-Level	Gene Knock-Out Studies
LUDLU1_LUNG	Gene-Level	Gene Knock-Out Studies
LXF289_LUNG	Gene-Level	Gene Knock-Out Studies
M059K_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
MALME3M_SKIN	Gene-Level	Gene Knock-Out Studies
MCAS_OVARY	Gene-Level	Gene Knock-Out Studies
MDAMB157_BREAST	Gene-Level	Gene Knock-Out Studies
MDAMB231_BREAST	Gene-Level	Gene Knock-Out Studies
MDAMB415_BREAST	Gene-Level	Gene Knock-Out Studies
MDAMB435S_SKIN	Gene-Level	Gene Knock-Out Studies
MDAMB436_BREAST	Gene-Level	Gene Knock-Out Studies
MDAMB453_BREAST	Gene-Level	Gene Knock-Out Studies
MDAMB468_BREAST	Gene-Level	Gene Knock-Out Studies
MDST8_LARGE_INTESTINE	Gene-Level	Gene Knock-Out Studies
MELHO_SKIN	Gene-Level	Gene Knock-Out Studies
MELJUSO_SKIN	Gene-Level	Gene Knock-Out Studies
MFE319_ENDOMETRIUM	Gene-Level	Gene Knock-Out Studies
MHHNB11_AUTONOMIC_GANGLIA	Gene-Level	Gene Knock-Out Studies
MIAPACA2_PANCREAS	Gene-Level	Gene Knock-Out Studies
MKN45_STOMACH	Gene-Level	Gene Knock-Out Studies
MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_2	Gene-Level	Gene Knock-Out Studies
MORCPR_LUNG	Gene-Level	Gene Knock-Out Studies
MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_2	Gene-Level	Gene Knock-Out Studies
NB1_AUTONOMIC_GANGLIA	Gene-Level	Gene Knock-Out Studies
NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_2	Gene-Level	Gene Knock-Out Studies
NCIH1299_LUNG	Gene-Level	Gene Knock-Out Studies
NCIH1437_LUNG	Gene-Level	Gene Knock-Out Studies
NCIH1581_LUNG	Gene-Level	Gene Knock-Out Studies
NCIH1650_LUNG	Gene-Level	Gene Knock-Out Studies
NCIH1693_LUNG	Gene-Level	Gene Knock-Out Studies
NCIH1703_LUNG	Gene-Level	Gene Knock-Out Studies
NCIH1792_LUNG	Gene-Level	Gene Knock-Out Studies
NCIH1944_LUNG	Gene-Level	Gene Knock-Out Studies
NCIH2023_LUNG	Gene-Level	Gene Knock-Out Studies
NCIH2030_LUNG	Gene-Level	Gene Knock-Out Studies
NCIH2087_LUNG	Gene-Level	Gene Knock-Out Studies
NCIH2110_LUNG	Gene-Level	Gene Knock-Out Studies
NCIH2122_LUNG	Gene-Level	Gene Knock-Out Studies
NCIH2126_LUNG	Gene-Level	Gene Knock-Out Studies
NCIH2170_LUNG	Gene-Level	Gene Knock-Out Studies
NCIH2172_LUNG	Gene-Level	Gene Knock-Out Studies
NCIH2291_LUNG	Gene-Level	Gene Knock-Out Studies
NCIH23_LUNG	Gene-Level	Gene Knock-Out Studies
NCIH322_LUNG	Gene-Level	Gene Knock-Out Studies
NCIH441_LUNG	Gene-Level	Gene Knock-Out Studies
NCIH460_LUNG	Gene-Level	Gene Knock-Out Studies
NCIH520_LUNG	Gene-Level	Gene Knock-Out Studies
NCIH716_LARGE_INTESTINE	Gene-Level	Gene Knock-Out Studies
NCIH747_LARGE_INTESTINE	Gene-Level	Gene Knock-Out Studies
NCIH838_LUNG	Gene-Level	Gene Knock-Out Studies
NCIN87_STOMACH	Gene-Level	Gene Knock-Out Studies
NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene-Level	Gene Knock-Out Studies
NUGC3_STOMACH	Gene-Level	Gene Knock-Out Studies
OAW28_OVARY	Gene-Level	Gene Knock-Out Studies
OE21_OESOPHAGUS	Gene-Level	Gene Knock-Out Studies
OE33_OESOPHAGUS	Gene-Level	Gene Knock-Out Studies
ONS76_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
OSRC2_KIDNEY	Gene-Level	Gene Knock-Out Studies
OUMS23_LARGE_INTESTINE	Gene-Level	Gene Knock-Out Studies
OV7_OVARY	Gene-Level	Gene Knock-Out Studies
OV90_OVARY	Gene-Level	Gene Knock-Out Studies
OVCAR8_OVARY	Gene-Level	Gene Knock-Out Studies
OVISE_OVARY	Gene-Level	Gene Knock-Out Studies
