Column	Class	Category
EFO27_OVARY	Gene knock-out studies	Gene-Based Metric
EKVX_LUNG	Gene knock-out studies	Gene-Based Metric
EPLC272H_LUNG	Gene knock-out studies	Gene-Based Metric
ES2_OVARY	Gene knock-out studies	Gene-Based Metric
ESS1_ENDOMETRIUM	Gene knock-out studies	Gene-Based Metric
F5_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
FADU_UPPER_AERODIGESTIVE_TRACT	Gene knock-out studies	Gene-Based Metric
FU97_STOMACH	Gene knock-out studies	Gene-Based Metric
G292CLONEA141B1_BONE	Gene knock-out studies	Gene-Based Metric
G401_SOFT_TISSUE	Gene knock-out studies	Gene-Based Metric
GAMG_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
GB1_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
GCIY_STOMACH	Gene knock-out studies	Gene-Based Metric
GI1_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
GSS_STOMACH	Gene knock-out studies	Gene-Based Metric
H4_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
HARA_LUNG	Gene knock-out studies	Gene-Based Metric
HCC1143_BREAST	Gene knock-out studies	Gene-Based Metric
HCC1359_LUNG	Gene knock-out studies	Gene-Based Metric
HCC1395_BREAST	Gene knock-out studies	Gene-Based Metric
HCC1419_BREAST	Gene knock-out studies	Gene-Based Metric
HCC1428_BREAST	Gene knock-out studies	Gene-Based Metric
HCC15_LUNG	Gene knock-out studies	Gene-Based Metric
HCC1806_BREAST	Gene knock-out studies	Gene-Based Metric
HCC1937_BREAST	Gene knock-out studies	Gene-Based Metric
HCC1954_BREAST	Gene knock-out studies	Gene-Based Metric
HCC202_BREAST	Gene knock-out studies	Gene-Based Metric
HCC56_LARGE_INTESTINE	Gene knock-out studies	Gene-Based Metric
HCC827_LUNG	Gene knock-out studies	Gene-Based Metric
HCC95_LUNG	Gene knock-out studies	Gene-Based Metric
HEC1A_ENDOMETRIUM	Gene knock-out studies	Gene-Based Metric
HEC1B_ENDOMETRIUM	Gene knock-out studies	Gene-Based Metric
HEC251_ENDOMETRIUM	Gene knock-out studies	Gene-Based Metric
HEC50B_ENDOMETRIUM	Gene knock-out studies	Gene-Based Metric
HEC59_ENDOMETRIUM	Gene knock-out studies	Gene-Based Metric
HEC6_ENDOMETRIUM	Gene knock-out studies	Gene-Based Metric
HEYA8_OVARY	Gene knock-out studies	Gene-Based Metric
HGC27_STOMACH	Gene knock-out studies	Gene-Based Metric
HLF_LIVER	Gene knock-out studies	Gene-Based Metric
HMC18_BREAST	Gene knock-out studies	Gene-Based Metric
HOP62_LUNG	Gene knock-out studies	Gene-Based Metric
HS294T_SKIN_2	Gene knock-out studies	Gene-Based Metric
HS578T_BREAST	Gene knock-out studies	Gene-Based Metric
HS683_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
HS695T_SKIN	Gene knock-out studies	Gene-Based Metric
HS729_SOFT_TISSUE	Gene knock-out studies	Gene-Based Metric
HS766T_PANCREAS	Gene knock-out studies	Gene-Based Metric
HS944T_SKIN	Gene knock-out studies	Gene-Based Metric
HSC3_UPPER_AERODIGESTIVE_TRACT	Gene knock-out studies	Gene-Based Metric
HT1080_SOFT_TISSUE	Gene knock-out studies	Gene-Based Metric
HT115_LARGE_INTESTINE	Gene knock-out studies	Gene-Based Metric
HT1197_URINARY_TRACT	Gene knock-out studies	Gene-Based Metric
HT1376_URINARY_TRACT	Gene knock-out studies	Gene-Based Metric
HT144_SKIN	Gene knock-out studies	Gene-Based Metric
HT55_LARGE_INTESTINE	Gene knock-out studies	Gene-Based Metric
HUH1_LIVER	Gene knock-out studies	Gene-Based Metric
HUH6_LIVER	Gene knock-out studies	Gene-Based Metric
HUH7_LIVER	Gene knock-out studies	Gene-Based Metric
HUPT3_PANCREAS	Gene knock-out studies	Gene-Based Metric
IGR1_SKIN	Gene knock-out studies	Gene-Based Metric
IGR39_SKIN	Gene knock-out studies	Gene-Based Metric
IMR32_AUTONOMIC_GANGLIA	Gene knock-out studies	Gene-Based Metric
IPC298_SKIN	Gene knock-out studies	Gene-Based Metric
JHH1_LIVER	Gene knock-out studies	Gene-Based Metric
JHH4_LIVER	Gene knock-out studies	Gene-Based Metric
JHH5_LIVER	Gene knock-out studies	Gene-Based Metric
JHH7_LIVER	Gene knock-out studies	Gene-Based Metric
JHOC5_OVARY	Gene knock-out studies	Gene-Based Metric
JHOM1_OVARY	Gene knock-out studies	Gene-Based Metric
JHOS2_OVARY	Gene knock-out studies	Gene-Based Metric
JHOS4_OVARY	Gene knock-out studies	Gene-Based Metric
JIMT1_BREAST	Gene knock-out studies	Gene-Based Metric
JMSU1_URINARY_TRACT	Gene knock-out studies	Gene-Based Metric
K029AX_SKIN	Gene knock-out studies	Gene-Based Metric
KALS1_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Based Metric
KELLY_AUTONOMIC_GANGLIA	Gene knock-out studies	Gene-Based Metric
KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Based Metric
KLE_ENDOMETRIUM	Gene knock-out studies	Gene-Based Metric
KM12_LARGE_INTESTINE	Gene knock-out studies	Gene-Based Metric
KMBC2_URINARY_TRACT	Gene knock-out studies	Gene-Based Metric
KMRC1_KIDNEY	Gene knock-out studies	Gene-Based Metric
KMRC20_KIDNEY	Gene knock-out studies	Gene-Based Metric
